acc,cluster_id
UniRef90_A0A0B2Y598,170
UniRef90_A0A0B3BV46,190
UniRef90_A0A0B3C5C0,227
UniRef90_A0A0B3RTS2,61
UniRef90_A0A0B3VXF4,302
UniRef90_A0A0B4S2J0,302
UniRef90_A0A0B4XKD9,178
UniRef90_A0A0B4XP60,33
UniRef90_A0A0B5AH82,108
UniRef90_A0A0B5D541,128
UniRef90_A0A0B5DLD5,38
UniRef90_A0A0B5E5V3,61
UniRef90_A0A0B5EQ89,38
UniRef90_A0A0B5FDH3,178
UniRef90_A0A0B5FUG9,62
UniRef90_A0A0B5NGN1,108
UniRef90_A0A0B6DST8,37
UniRef90_A0A0B6F0H9,128
UniRef90_A0A0B6TTA0,128
UniRef90_A0A0B6WS35,75
UniRef90_A0A0B7HX88,76
UniRef90_A0A0B7I237,76
UniRef90_A0A0B7I7W7,76
UniRef90_A0A0B7IXX1,178
UniRef90_A0A0B7J905,94
UniRef90_A0A0B7MHM2,128
UniRef90_A0A0B8P2C0,219
UniRef90_A0A0B8Y8V3,57
UniRef90_A0A0B8YCD0,26
UniRef90_A0A0C1CVH0,26
UniRef90_A0A0C1D231,170
UniRef90_A0A0C1DPF7,100
UniRef90_A0A0C1EBA5,138
UniRef90_A0A0C1F8A6,76
UniRef90_A0A0C1HBD1,138
UniRef90_A0A0C1IW30,26
UniRef90_A0A0C1KSC7,209
UniRef90_A0A0C1KX09,26
UniRef90_A0A0C1LFB1,170
UniRef90_A0A0C1QZJ0,62
UniRef90_A0A0C1RDW8,302
UniRef90_A0A0C1SY42,15
UniRef90_A0A0C1UFD5,37
UniRef90_A0A0C1URS3,209
UniRef90_A0A0C1UWL3,37
UniRef90_A0A0C1VJS1,178
UniRef90_A0A0C1X1A3,38
UniRef90_A0A0C1XVB7,15
UniRef90_A0A0C1YIL7,61
UniRef90_A0A0C1ZDM5,62
UniRef90_A0A0C2B8A1,38
UniRef90_A0A0C2FF03,170
UniRef90_A0A0C2K094,219
UniRef90_A0A0C2KZF0,15
UniRef90_A0A0C2PKM2,178
UniRef90_A0A0C2RPN8,108
UniRef90_A0A0C2UN68,108
UniRef90_A0A0C2UU62,275
UniRef90_A0A0C2V2Z3,275
UniRef90_A0A0C2VT60,275
UniRef90_A0A0C2XR60,108
UniRef90_A0A0C2ZQW1,275
UniRef90_A0A0C3HVM1,219
UniRef90_A0A0C3ME94,76
UniRef90_A0A0C3NKB3,151
UniRef90_A0A0C3NMR8,18
UniRef90_A0A0C3QZJ9,264
UniRef90_A0A0C4WNI2,227
UniRef90_A0A0C5CGT6,108
UniRef90_A0A0C5KV68,62
UniRef90_A0A0C5V482,288
UniRef90_A0A0C5VWA9,178
UniRef90_A0A0C5WCK5,94
UniRef90_A0A0C5WYJ5,179
UniRef90_A0A0C6FY42,84
UniRef90_A0A0C7DUJ1,178
UniRef90_A0A0C7NP47,184
UniRef90_A0A0C9PNZ5,110
UniRef90_A0A0D0EMY3,26
UniRef90_A0A0D0GR46,44
UniRef90_A0A0D0I7D9,72
UniRef90_A0A0D0IJR3,170
UniRef90_A0A0D0JM77,227
UniRef90_A0A0D0KPP2,26
UniRef90_A0A0D0PN58,94
UniRef90_A0A0D0QDS7,75
UniRef90_A0A0D0S580,178
UniRef90_A0A0D0SHQ9,302
UniRef90_A0A0D1EHH7,75
UniRef90_A0A0D1LZ62,108
UniRef90_A0A0D1PKH5,133
UniRef90_A0A0D1VFH7,108
UniRef90_A0A0D2I259,248
UniRef90_A0A0D2JJY7,62
UniRef90_A0A0D2VSD0,62
UniRef90_A0A0D3LE81,209
UniRef90_A0A0D3LJV2,57
UniRef90_A0A0D3V7T6,27
UniRef90_A0A0D3VF61,108
UniRef90_A0A0D4BZL8,38
UniRef90_A0A0D5LXW9,120
UniRef90_A0A0D5M4R7,33
UniRef90_A0A0D5WXC4,290
UniRef90_A0A0D5ZJL0,84
UniRef90_A0A0D6AHJ7,15
UniRef90_A0A0D6B6L3,75
UniRef90_A0A0D6DU19,108
UniRef90_A0A0D6EC08,33
UniRef90_A0A0D6ETL7,178
UniRef90_A0A0D6FFE0,128
UniRef90_A0A0D6MM40,75
UniRef90_A0A0D6MW30,75
UniRef90_A0A0D6P9K2,75
UniRef90_A0A0D6T9E7,75
UniRef90_A0A0D6TNZ8,76
UniRef90_A0A0D6Z7E4,108
UniRef90_A0A0D7CBX7,38
UniRef90_A0A0D7KLQ2,165
UniRef90_A0A0D7W8B2,292
UniRef90_A0A0D8CEN7,62
UniRef90_A0A0D8CNI1,47
UniRef90_A0A0D8CPG4,121
UniRef90_A0A0D8CW95,121
UniRef90_A0A0D8FWQ0,37
UniRef90_A0A0D8HL56,37
UniRef90_A0A0D8IYC3,116
UniRef90_A0A0D8J9A0,228
UniRef90_A0A0D8JBH0,57
UniRef90_A0A0D8ZVB7,15
UniRef90_A0A0D8ZYV6,33
UniRef90_A0A0D9AQL4,227
UniRef90_A0A0E1ZG35,76
UniRef90_A0A0E2B6F2,74
UniRef90_A0A0E3M283,266
UniRef90_A0A0E3U4B3,178
UniRef90_A0A0E3U5K4,178
UniRef90_A0A0E3UIQ0,8
UniRef90_A0A0E3UW71,209
UniRef90_A0A0E3V003,91
UniRef90_A0A0E3Y7L1,178
UniRef90_A0A0E3YVA4,68
UniRef90_A0A0E3ZBH7,208
UniRef90_A0A0E4A544,170
UniRef90_A0A0E4BHV8,36
UniRef90_A0A0E4FR55,133
UniRef90_A0A0E4FYA3,104
UniRef90_A0A0E4GBA3,128
UniRef90_A0A0E9EEU6,38
UniRef90_A0A0E9EL65,302
UniRef90_A0A0E9EZD4,70
UniRef90_A0A0E9FTY4,108
UniRef90_A0A0E9G1A5,38
UniRef90_A0A0E9G9A6,108
UniRef90_A0A0E9GDT9,170
UniRef90_A0A0E9LWB0,76
UniRef90_A0A0E9LZH8,57
UniRef90_A0A0E9MI11,178
UniRef90_A0A0E9MPY4,62
UniRef90_A0A0E9MUT1,209
UniRef90_A0A0E9N693,26
UniRef90_A0A0F0C934,55
UniRef90_A0A0F0CTC9,114
UniRef90_A0A0F0DHN7,33
UniRef90_A0A0F0EM29,113
UniRef90_A0A0F0EM76,170
UniRef90_A0A0F0G6A8,89
UniRef90_A0A0F0HR68,38
UniRef90_A0A0F0KJ31,170
UniRef90_A0A0F0KR03,170
UniRef90_A0A0F0LAN1,170
UniRef90_A0A0F0LX09,170
UniRef90_A0A0F2C5W0,170
UniRef90_A0A0F2IYG5,19
UniRef90_A0A0F2J2I8,37
UniRef90_A0A0F2NNR5,128
UniRef90_A0A0F2NVR2,76
UniRef90_A0A0F2P4Q3,195
UniRef90_A0A0F2P5P5,121
UniRef90_A0A0F2PP60,128
UniRef90_A0A0F2PR45,128
UniRef90_A0A0F2Q8H0,128
UniRef90_A0A0F2R5Z0,62
UniRef90_A0A0F2R6Z0,43
UniRef90_A0A0F2S2I4,62
UniRef90_A0A0F2TKV5,38
UniRef90_A0A0F3FL54,302
UniRef90_A0A0F3GHE8,19
UniRef90_A0A0F3GK54,19
UniRef90_A0A0F3GT23,37
UniRef90_A0A0F3MP92,240
UniRef90_A0A0F3NNE7,279
UniRef90_A0A0F4FSP4,75
UniRef90_A0A0F4KZG1,108
UniRef90_A0A0F4LRE1,108
UniRef90_A0A0F4LWA4,108
UniRef90_A0A0F4QIN9,33
UniRef90_A0A0F5AN82,94
UniRef90_A0A0F5EVD8,178
UniRef90_A0A0F5H1E5,84
UniRef90_A0A0F5HPT7,108
UniRef90_A0A0F5IRV0,36
UniRef90_A0A0F5JU15,139
UniRef90_A0A0F5MQT4,62
UniRef90_A0A0F5N2V8,170
UniRef90_A0A0F5VGY3,94
UniRef90_A0A0F6ACB9,129
UniRef90_A0A0F6CLC9,25
UniRef90_A0A0F6QDM6,17
UniRef90_A0A0F6QYD9,128
UniRef90_A0A0F6TA83,128
UniRef90_A0A0F6TRL9,102
UniRef90_A0A0F6U7B7,15
UniRef90_A0A0F6X1S0,84
UniRef90_A0A0F6YIW4,62
UniRef90_A0A0F7CNU1,38
UniRef90_A0A0F7GEB5,37
UniRef90_A0A0F7H9M8,290
UniRef90_A0A0F7HLZ7,108
UniRef90_A0A0F7JY73,178
UniRef90_A0A0F7K1M2,2
UniRef90_A0A0F7KDD4,178
UniRef90_A0A0F7M2Z7,121
UniRef90_A0A0F7N895,38
UniRef90_A0A0F7PMV2,75
UniRef90_A0A0F7W0D6,38
UniRef90_A0A0F8YGK5,31
UniRef90_A0A0F8YHC4,37
UniRef90_A0A0F8YQU0,62
UniRef90_A0A0F9A5Y8,197
UniRef90_A0A0F9BJ24,10
UniRef90_A0A0F9C7P6,94
UniRef90_A0A0F9CSS0,10
UniRef90_A0A0F9CT57,253
UniRef90_A0A0F9D647,43
UniRef90_A0A0F9G4C6,37
UniRef90_A0A0F9G7R6,114
UniRef90_A0A0F9GEQ0,268
UniRef90_A0A0F9JFX8,61
UniRef90_A0A0F9JIF2,132
UniRef90_A0A0F9JPY2,110
UniRef90_A0A0F9KTF0,60
UniRef90_A0A0F9MAB0,268
UniRef90_A0A0F9NZU3,178
UniRef90_A0A0F9P7Y8,212
UniRef90_A0A0F9PIU1,128
UniRef90_A0A0F9QG10,31
UniRef90_A0A0F9QGI5,26
UniRef90_A0A0F9SXD4,75
UniRef90_A0A0F9T5U7,268
UniRef90_A0A0F9TNW5,60
UniRef90_A0A0F9VG38,60
UniRef90_A0A0F9W6A5,33
UniRef90_A0A0F9YC07,248
UniRef90_A0A0F9YEL7,197
UniRef90_A0A0F9YL93,37
UniRef90_A0A0F9Z1M9,197
UniRef90_A0A0F9ZAJ4,248
UniRef90_A0A0F9ZES3,197
UniRef90_A0A0F9ZUL5,37
UniRef90_A0A0G0A5K5,37
UniRef90_A0A0G0ABQ0,248
UniRef90_A0A0G0AT63,248
UniRef90_A0A0G0AU14,37
UniRef90_A0A0G0B167,197
UniRef90_A0A0G0B6I9,37
UniRef90_A0A0G0BGX0,37
UniRef90_A0A0G0BIZ8,37
UniRef90_A0A0G0BS41,197
UniRef90_A0A0G0C3Q6,197
UniRef90_A0A0G0CAR7,37
UniRef90_A0A0G0CCL3,197
UniRef90_A0A0G0DFF0,37
UniRef90_A0A0G0DGD1,37
UniRef90_A0A0G0DH06,197
UniRef90_A0A0G0DWF2,197
UniRef90_A0A0G0EF18,197
UniRef90_A0A0G0EZ20,248
UniRef90_A0A0G0F8T2,197
UniRef90_A0A0G0FK96,197
UniRef90_A0A0G0FTG7,197
UniRef90_A0A0G0FVQ0,197
UniRef90_A0A0G0G0N7,197
UniRef90_A0A0G0G795,197
UniRef90_A0A0G0H0A0,37
UniRef90_A0A0G0H4Q6,248
UniRef90_A0A0G0HAE6,37
UniRef90_A0A0G0IIK4,37
UniRef90_A0A0G0IIV9,37
UniRef90_A0A0G0IN24,197
UniRef90_A0A0G0J5U3,197
UniRef90_A0A0G0JIQ0,37
UniRef90_A0A0G0JJ89,37
UniRef90_A0A0G0JXK4,37
UniRef90_A0A0G0K2S0,197
UniRef90_A0A0G0KDS3,197
UniRef90_A0A0G0KVS3,37
UniRef90_A0A0G0L7J5,37
UniRef90_A0A0G0LAS8,248
UniRef90_A0A0G0LBV0,37
UniRef90_A0A0G0LKK3,197
UniRef90_A0A0G0LNY0,197
UniRef90_A0A0G0LRV3,197
UniRef90_A0A0G0LSM7,197
UniRef90_A0A0G0M393,37
UniRef90_A0A0G0M5H1,197
UniRef90_A0A0G0M9V7,285
UniRef90_A0A0G0MMB1,37
UniRef90_A0A0G0MN50,197
UniRef90_A0A0G0MQS2,37
UniRef90_A0A0G0MSB1,197
UniRef90_A0A0G0MZW2,197
UniRef90_A0A0G0NHR3,37
UniRef90_A0A0G0NQI5,197
UniRef90_A0A0G0NXW6,197
UniRef90_A0A0G0QHN5,197
UniRef90_A0A0G0QKG6,197
UniRef90_A0A0G0QMY3,37
UniRef90_A0A0G0QW35,197
UniRef90_A0A0G0QYP2,197
UniRef90_A0A0G0RAP6,37
UniRef90_A0A0G0RHG1,197
UniRef90_A0A0G0RRC7,37
UniRef90_A0A0G0S0T0,37
UniRef90_A0A0G0S6J7,197
UniRef90_A0A0G0SFS6,197
UniRef90_A0A0G0SWB8,139
UniRef90_A0A0G0T2U4,37
UniRef90_A0A0G0TG04,37
UniRef90_A0A0G0TPD6,197
UniRef90_A0A0G0TVW9,37
UniRef90_A0A0G0U324,197
UniRef90_A0A0G0U3H4,37
UniRef90_A0A0G0UUL3,37
UniRef90_A0A0G0UXR4,197
UniRef90_A0A0G0VCY0,197
UniRef90_A0A0G0VK33,37
UniRef90_A0A0G0VWP8,37
UniRef90_A0A0G0VWV7,37
UniRef90_A0A0G0W1G4,197
UniRef90_A0A0G0WUK8,197
UniRef90_A0A0G0X1N0,197
UniRef90_A0A0G0XJW0,37
UniRef90_A0A0G0XLL9,197
UniRef90_A0A0G0XLZ0,197
UniRef90_A0A0G0XQG8,197
UniRef90_A0A0G0XRW6,197
UniRef90_A0A0G0Y9E4,248
UniRef90_A0A0G0YEV0,197
UniRef90_A0A0G0Z003,197
UniRef90_A0A0G0Z3T2,197
UniRef90_A0A0G0Z577,197
UniRef90_A0A0G0Z790,197
UniRef90_A0A0G0ZAR5,197
UniRef90_A0A0G0ZGF7,37
UniRef90_A0A0G0ZID8,37
UniRef90_A0A0G1A6S5,197
UniRef90_A0A0G1AMQ0,197
UniRef90_A0A0G1AQ66,197
UniRef90_A0A0G1B404,37
UniRef90_A0A0G1B9U9,37
UniRef90_A0A0G1BT36,197
UniRef90_A0A0G1C0X1,37
UniRef90_A0A0G1CAC7,197
UniRef90_A0A0G1CE85,197
UniRef90_A0A0G1CHH3,37
UniRef90_A0A0G1CYA4,197
UniRef90_A0A0G1D777,197
UniRef90_A0A0G1D8Z3,197
UniRef90_A0A0G1DD26,37
UniRef90_A0A0G1DH51,37
UniRef90_A0A0G1DU07,197
UniRef90_A0A0G1DZI5,197
UniRef90_A0A0G1E1Q9,248
UniRef90_A0A0G1EE79,197
UniRef90_A0A0G1EXC3,197
UniRef90_A0A0G1FAB1,197
UniRef90_A0A0G1FGU1,37
UniRef90_A0A0G1FM78,197
UniRef90_A0A0G1G8E3,37
UniRef90_A0A0G1GEX2,37
UniRef90_A0A0G1GXA0,197
UniRef90_A0A0G1HHH3,37
UniRef90_A0A0G1HK44,197
UniRef90_A0A0G1HM60,37
UniRef90_A0A0G1HXC9,37
UniRef90_A0A0G1HYT1,197
UniRef90_A0A0G1I0K5,197
UniRef90_A0A0G1I5B3,197
UniRef90_A0A0G1IGR0,197
UniRef90_A0A0G1IPE8,37
UniRef90_A0A0G1JII5,197
UniRef90_A0A0G1KD27,197
UniRef90_A0A0G1KHN4,37
UniRef90_A0A0G1KI99,37
UniRef90_A0A0G1KRZ4,197
UniRef90_A0A0G1L5E6,197
UniRef90_A0A0G1LD85,256
UniRef90_A0A0G1LXA5,197
UniRef90_A0A0G1MBL8,197
UniRef90_A0A0G1MN66,37
UniRef90_A0A0G1N0F9,197
UniRef90_A0A0G1N0M4,197
UniRef90_A0A0G1N4F1,197
UniRef90_A0A0G1N4F2,197
UniRef90_A0A0G1N5I4,197
UniRef90_A0A0G1NBS5,37
UniRef90_A0A0G1NEX8,197
UniRef90_A0A0G1NGJ0,197
UniRef90_A0A0G1NHK7,197
UniRef90_A0A0G1NKC2,37
UniRef90_A0A0G1P020,37
